Index,Original Word,Translated Word,Audio File Path,Definition
0,person,persona,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\persona.mp3,An individual; usually a human being.
1,bicycle,bicicleta,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\bicicleta.mp3,"A vehicle that has two wheels, one behind the other, a steering handle, and a saddle seat or seats and is usually propelled by the action of a rider’s feet upon pedals."
2,car,auto,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\auto.mp3,"A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation."
3,motorcycle,motocicleta,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\motocicleta.mp3,"An open-seated motor vehicle with handlebars instead of a steering wheel, and having two (or sometimes three) wheels."
4,airplane,avión,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\avión.mp3,A powered heavier-than-air aircraft with fixed wings.
5,bus,autobús,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\autobús.mp3,A motor vehicle for transporting large numbers of people along roads.
6,train,tren,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\tren.mp3,Elongated portion.
7,truck,camión,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\camión.mp3,"A small wheel or roller, specifically the wheel of a gun carriage."
8,boat,bote,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\bote.mp3,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind."
9,traffic light,semáforo,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\semáforo.mp3,"A signalling device positioned at a road intersection or pedestrian crossing to indicate when it may be safe to drive, ride or walk, using a universal colour code."
10,fire hydrant,boca de incendio,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\boca de incendio.mp3,"A device used by firefighters to obtain water from the main supply, consisting of a barrel, connections for hose and a valve assembly."
11,stop sign,señal de stop,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\señal de stop.mp3,No definition found
12,parking meter,parquímetro,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\parquímetro.mp3,"A device, located by a parking space, that collects payment in exchange for the right to park a vehicle for a specified time."
13,bench,banco,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\banco.mp3,"A long seat with or without a back, found for example in parks and schools."
14,bird,pájaro,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\pájaro.mp3,"A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs."
15,cat,gato,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\gato.mp3,An animal of the family Felidae:
16,dog,perro,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\perro.mp3,"A mammal, Canis familiaris or Canis lupus familiaris, that has been domesticated for thousands of years, of highly variable appearance due to human breeding."
17,horse,caballo,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\caballo.mp3,Any of several animals related to Equus ferus caballus.
18,sheep,oveja,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\oveja.mp3,A woolly ruminant of the genus Ovis.
19,cow,vaca,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\vaca.mp3,"(properly) An adult female of the species Bos taurus, especially one that has calved."
